channel,conversions,attributed_revenue,total_cost,roi,model
Email,130.0,13257.68,943.0,13.059045599151643,First-Click
Direct,124.0,12833.51,0.0,inf,First-Click
Search,123.0,12725.52,4420.0,1.879076923076923,First-Click
Social,104.0,10432.62,2778.0,2.755442764578834,First-Click
Display,98.0,10250.47,1779.0,4.7619280494659915,First-Click
Email,228.0,23335.47,943.0,23.745991516436906,Last-Click
Search,130.0,15532.42,4420.0,2.514122171945701,Last-Click
Direct,94.0,10645.89,0.0,inf,Last-Click
Social,80.0,6519.33,2778.0,1.3467710583153347,Last-Click
Display,47.0,3466.69,1779.0,0.94867341202923,Last-Click
Email,156.10873015873017,16026.545503968257,943.0,15.995276250231449,Linear
Search,118.29126984126984,12788.080138888889,4420.0,1.8932308006535947,Linear
Direct,119.17539682539682,12493.943507936508,0.0,inf,Linear
Social,99.88809523809525,9780.61984126984,2778.0,2.520741483538459,Linear
Display,85.53650793650793,8410.611007936508,1779.0,3.7277183855742035,Linear
